State,LGA,Ward,PU-Code,PU-Name,Accredited_Voters,Registered_Voters,Results_Found,Transcription_Count,Result_Sheet_Stamped,Result_Sheet_Corrected,Result_Sheet_Invalid,Result_Sheet_Unclear,Result_Sheet_Unsigned,APC,LP,PDP,NNPP,Results_File,,,,,,,,,,,Latitude,Longitude
ZAMFARA,ANKA,BAGEGA,36-01-01-002,BAGEGA II/MAKARANTA,141,750,TRUE,-1,TRUE,FALSE,FALSE,FALSE,UNKNOWN,86,0,36,3,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/117461/result_64614_1678126361_thumb.jpg,,,,,,,,,,,11.867299,6.001387
ZAMFARA,BAKURA,BIRNIN TUDU,36-02-02-001,SHIYAR TUDU/PRIMARY SCHOOL,355,832,TRUE,-1,TRUE,FALSE,FALSE,FALSE,UNKNOWN,295,0,55,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/117609/result_64814_1677508206_thumb.jpg,,,,,,,,,,,12.654427,6.043782
ZAMFARA,BAKURA,BIRNIN TUDU,36-02-02-012,S/AJIYA II/VILLAGE HEAD OFFICE,261,803,TRUE,-1,TRUE,FALSE,FALSE,FALSE,UNKNOWN,184,0,74,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/117620/result_64825_1677507148_thumb.jpg,,,,,,,,,,,12.084631,5.299555
ZAMFARA,BAKURA,DAMRI,36-02-03-001,DAMRI   I/MODEL PRIMARY SCHOOL,551,1289,TRUE,-1,TRUE,FALSE,FALSE,FALSE,UNKNOWN,511,0,37,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/117621/result_64832_1677506337_thumb.jpg,,,,,,,,,,,12.441843,5.838036
ZAMFARA,BAKURA,DANKADU,36-02-04-004,MADACCI II/ADULT EDU. CLASS,348,1058,TRUE,-1,TRUE,FALSE,FALSE,FALSE,UNKNOWN,129,0,204,14,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/117635/result_64850_1677507248_thumb.jpg,,,,,,,,,,,11.329664,4.333407
ZAMFARA,BAKURA,DAN MANAU,36-02-05-005,DAN MANAU    /  MODEL PRI SCH.,220,989,TRUE,-1,TRUE,FALSE,FALSE,FALSE,UNKNOWN,145,1,97,6,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/117650/result_64874_1677485696_thumb.jpg,,,,,,,,,,,11.462316,7.129709
ZAMFARA,BIRNIN MAGAJI,DANFAMI SABON BIRINI,36-03-02-011,SHAMUSHALE I /SHIYAR SABON GARI,100,750,TRUE,-1,TRUE,FALSE,FALSE,FALSE,UNKNOWN,60,0,40,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/117723/result_65002_1677514022_thumb.jpg,,,,,,,,,,,12.589229,6.988225
ZAMFARA,BIRNIN MAGAJI,GORA,36-03-03-011,MADAMBAJI    /  GARKAR HAKIMI,49,134,TRUE,-1,TRUE,TRUE,FALSE,FALSE,UNKNOWN,235,0,49,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/117736/result_65020_1677620978_thumb.jpg,,,,,,,,,,,12.452943,6.72835
ZAMFARA,BIRNIN MAGAJI,GUSAMI HAYI,36-03-05-006,SAKEEN KADE   /   KOFAR GIDAN A LABBO,143,649,TRUE,-1,TRUE,FALSE,FALSE,FALSE,UNKNOWN,118,0,25,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/117758/result_65056_1677590535_thumb.jpg,,,,,,,,,,,11.979535,8.514164
ZAMFARA,BUKKUYUM,ADABKA,36-04-01-013,KATAFANA / DAN FAGE,41,641,TRUE,-1,TRUE,FALSE,FALSE,FALSE,UNKNOWN,34,0,2,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3866/ward/26217/pu/118936/118936-1677778321.pdf,,,,,,,,,,,11.731405,5.579454
ZAMFARA,BUKKUYUM,BUKKUYUM,36-04-02-004,BUKKUYUM I    /   PRIMARY SCHOOL,233,750,TRUE,-1,TRUE,FALSE,FALSE,FALSE,UNKNOWN,126,0,88,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3866/ward/26218/pu/118946/118946-1677756598.pdf,,,,,,,,,,,12.137375,5.465616
ZAMFARA,BUKKUYUM,GWASHI,36-04-03-011,RUGAR BABA  / DOGON YARO,179,673,TRUE,-1,TRUE,FALSE,FALSE,FALSE,UNKNOWN,126,0,47,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3866/ward/26219/pu/118971/118971-1677760783.pdf,,,,,,,,,,,10.226585,8.809771
ZAMFARA,BUKKUYUM,GWASHI,36-04-03-021,MUKUNAWA DUTSI / YAR INNUWA,35,391,TRUE,-1,TRUE,FALSE,FALSE,FALSE,UNKNOWN,31,0,4,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3866/ward/26219/pu/118981/118981-1677763297.pdf,,,,,,,,,,,12.830547,8.14021
ZAMFARA,BUKKUYUM,GWASHI,36-04-03-022,TUNGAR YARA / MAI YARA,171,470,TRUE,-1,TRUE,FALSE,FALSE,FALSE,UNKNOWN,38,0,60,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3866/ward/26219/pu/118982/118982-1677763582.pdf,,,,,,,,,,,11.615154,6.597676
ZAMFARA,BUKKUYUM,KYARAM,36-04-04-007,KADO / YAR RUNFA,82,500,TRUE,-1,FALSE,TRUE,FALSE,FALSE,UNKNOWN,58,0,19,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3866/ward/26220/pu/118990/118990-1677710538.pdf,,,,,,,,,,,9.088594,7.418669
ZAMFARA,BUKKUYUM,KYARAM,36-04-04-017,ULI / DAN ULI,63,416,TRUE,-1,TRUE,FALSE,FALSE,FALSE,UNKNOWN,47,4,9,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3866/ward/26220/pu/119000/119000-1677706068.pdf,,,,,,,,,,,5.785339,6.855771
ZAMFARA,BUKKUYUM,NASARAWA,36-04-06-003,SHIYAR MAGAJI III / SHIYAR MAGAJI,231,770,TRUE,-1,TRUE,FALSE,FALSE,FALSE,UNKNOWN,68,0,140,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3866/ward/26222/pu/119010/119010-1677750629.pdf,,,,,,,,,,,13.141768,6.817101
ZAMFARA,BUKKUYUM,NASARAWA,36-04-06-022,TUNGAR KORAU / TUNGAR KORAU,100,227,TRUE,-1,TRUE,FALSE,FALSE,FALSE,UNKNOWN,38,0,60,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3866/ward/26222/pu/119029/119029-1677772735.pdf,,,,,,,,,,,9.887682,5.927625
ZAMFARA,BUKKUYUM,ZAUMA,36-04-10-002,ZAUMA / PRIMARY SCHOOL,242,745,TRUE,-1,TRUE,FALSE,FALSE,FALSE,UNKNOWN,221,0,53,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3866/ward/26226/pu/119072/119072-1677766082.pdf,,,,,,,,,,,12.593873,8.397531
ZAMFARA,BUNGUDU,NAHUCE,36-05-06-015,GIDAN MASAKA KABA   /  DAN HILI,99,698,TRUE,-1,TRUE,FALSE,FALSE,FALSE,UNKNOWN,57,0,37,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/118100/result_65517_1677595528_thumb.jpg,,,,,,,,,,,12.205417,6.710439
ZAMFARA,BUNGUDU,RAWAYYA/ BELA,36-05-08-005,KURMI  / BAKIN GIDAN HAKIMI,189,600,TRUE,-1,TRUE,FALSE,FALSE,FALSE,UNKNOWN,95,0,85,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/118134/result_65574_1677500289_thumb.jpg,,,,,,,,,,,10.566775,7.43323
ZAMFARA,BUNGUDU,RAWAYYA/ BELA,36-05-08-007,KWAGE  / BAKIN GIDAN HAKIMI,222,582,TRUE,-1,TRUE,FALSE,FALSE,FALSE,UNKNOWN,90,0,128,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/118136/result_65576_1677500516_thumb.jpg,,,,,,,,,,,9.572754,7.155181
ZAMFARA,BUNGUDU,RAWAYYA/ BELA,36-05-08-032,BELA/ASAKO II    /  DAN HILI,395,858,TRUE,-1,TRUE,FALSE,FALSE,FALSE,UNKNOWN,179,0,62,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/118161/result_65601_1677503019_thumb.jpg,,,,,,,,,,,7.616142,3.476406
ZAMFARA,BUNGUDU,TOFA,36-05-11-010,WAZOJI  /   PRIMARY SCHOOL,39,718,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,23,0,14,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/118196/result_65659_1677492571_thumb.jpg,,,,,,,,,,,12.232785,6.733219
ZAMFARA,GUMMI,BIRNIN MAGAJI,36-06-02-006,KALI / KALI KASUWA,232,675,TRUE,-1,TRUE,FALSE,FALSE,FALSE,UNKNOWN,145,0,83,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/118228/result_65701_1677605562_thumb.jpg,,,,,,,,,,,10.392244,7.712431
ZAMFARA,GUMMI,GAYARI,36-06-06-001,SH. ANNA  I / PRI. SCH.,282,532,TRUE,-1,TRUE,FALSE,FALSE,FALSE,UNKNOWN,187,1,88,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/06/ward/06/pu/001/001-1677364108.pdf,,,,,,,,,,,12.081181,4.901183
ZAMFARA,GUMMI,GAYARI,36-06-06-007,ADARAWA  I / PRIMARY SCHOOL,145,582,TRUE,-1,TRUE,TRUE,FALSE,FALSE,UNKNOWN,62,0,76,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/06/ward/06/pu/007/007-1677370095.pdf,,,,,,,,,,,13.294239,5.049327
ZAMFARA,GUSAU,MADAWAKI,36-07-02-013,ABARMA   /  PRIMARY SCHOOL  ABARMA,199,654,TRUE,-1,TRUE,FALSE,FALSE,FALSE,UNKNOWN,48,0,138,2,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3869/ward/26250/pu/119546/119546-1677588944.pdf,,,,,,,,,,,12.978385,5.291291
ZAMFARA,GUSAU,MADA,36-07-03-003,SABON GARI I   /  MADA GENERAL HOSPITAL,239,777,TRUE,-1,TRUE,FALSE,FALSE,FALSE,UNKNOWN,82,0,129,15,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3869/ward/26251/pu/119556/119556-1677511696.pdf,,,,,,,,,,,12.025542,8.536105
ZAMFARA,GUSAU,MADA,36-07-03-012,SARKIN RAFI I   /  HAYIN BOJA,82,218,TRUE,-1,TRUE,FALSE,FALSE,FALSE,UNKNOWN,36,0,38,4,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3869/ward/26251/pu/119565/119565-1677519168.pdf,,,,,,,,,,,11.274178,8.319843
ZAMFARA,GUSAU,MADA,36-07-03-019,GIDAN KARA    /   DAN HILI,139,456,TRUE,-1,TRUE,TRUE,FALSE,FALSE,UNKNOWN,43,2,56,1,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3869/ward/26251/pu/119572/119572-1677514228.pdf,,,,,,,,,,,13.557984,5.786415
ZAMFARA,MARADUN,FARU / MAGAMI,36-09-03-011,KYARA / SH/ADAMU,116,441,TRUE,-1,TRUE,FALSE,FALSE,FALSE,UNKNOWN,66,0,48,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/118953/result_66761_1677505478_thumb.jpg,,,,,,,,,,,12.405183,4.398104
ZAMFARA,MARADUN,FARU / MAGAMI,36-09-03-024,SHIYAR BADIYE / KUKAR GASHE,261,705,TRUE,-1,TRUE,FALSE,FALSE,FALSE,UNKNOWN,175,0,54,6,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/118966/result_66774_1677497687_thumb.jpg,,,,,,,,,,,12.308117,7.660972
ZAMFARA,MARADUN,JANBAKO,36-09-06-007,UNG. MAIJATAU / KOGON MAI JATAU,84,464,TRUE,-1,TRUE,FALSE,FALSE,FALSE,UNKNOWN,58,0,23,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/119004/result_66823_1677502428_thumb.jpg,,,,,,,,,,,10.544502,7.451045
ZAMFARA,MARADUN,MARADUN NORTH,36-09-08-006,KAREN BUKI / UNGUWAN SARKIN FULANI,118,391,TRUE,-1,TRUE,FALSE,FALSE,FALSE,UNKNOWN,103,0,12,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/119033/result_66864_1677486467_thumb.jpg,,,,,,,,,,,12.562858,6.310096
ZAMFARA,MARADUN,MARADUN SOUTH,36-09-09-007,TUNGAR MAGAJI   /  PRIMARY SCHOOL AREA,167,540,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,161,0,0,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/119046/result_66884_1677493962_thumb.jpg,,,,,,,,,,,11.668962,6.366772
ZAMFARA,MARU,BINDIN,36-10-01-017,KOLI - GARKAR HAKIMI,34,443,TRUE,-1,TRUE,TRUE,FALSE,FALSE,UNKNOWN,2,0,1,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/119078/result_66926_1677586185_thumb.jpg,,,,,,,,,,,11.277994,9.883472
ZAMFARA,TALATA MAFARA,GWARAM,36-12-02-002,MORAWA / MAKARANTA,301,804,TRUE,-1,TRUE,FALSE,FALSE,FALSE,UNKNOWN,267,3,28,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3874/ward/26302/pu/120515/120515-1677764619.pdf,,,,,,,,,,,12.546127,6.8113686
ZAMFARA,TALATA MAFARA,SHIYAR GALADIMA,36-12-09-007,KARTAWA / GARKAR BALARABE,144,750,TRUE,-1,TRUE,FALSE,FALSE,FALSE,UNKNOWN,111,0,28,1,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/119526/result_67475_1677855439_thumb.jpg,,,,,,,,,,,12.546608,6.814425
ZAMFARA,TALATA MAFARA,SHIYAR GALADIMA,36-12-09-018,SHIYAR  NA-MARU   /   GARKAR NA MARU,172,750,TRUE,-1,TRUE,TRUE,FALSE,FALSE,UNKNOWN,70,0,87,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/119537/result_67486_1677850971_thumb.jpg,,,,,,,,,,,12.631653,5.856369
ZAMFARA,TALATA MAFARA,SHIYAR GALADIMA,36-12-09-026,MAITAKO / KUSA DA MASALLACHI,252,474,TRUE,-1,TRUE,FALSE,FALSE,FALSE,UNKNOWN,208,0,38,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/119545/result_67494_1678016117_thumb.jpg,,,,,,,,,,,8.413489,8.120979
ZAMFARA,TSAFE,YANDOTON DAJI,36-13-03-010,GOBIRAWA I / GARKAR MAI GARI,219,573,TRUE,-1,TRUE,FALSE,FALSE,FALSE,UNKNOWN,89,0,124,1,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3875/ward/26314/pu/120726/120726-1677592618.pdf,,,,,,,,,,,11.901057,7.114419
ZAMFARA,TSAFE,YANDOTON DAJI,36-13-03-012,NASARAWA / DAN FILI,129,616,TRUE,-1,TRUE,TRUE,FALSE,FALSE,UNKNOWN,99,0,23,2,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3875/ward/26314/pu/120728/120728-1677591442.pdf,,,,,,,,,,,11.889401,7.116695
ZAMFARA,TSAFE,"YANKUZO ""A""",36-13-04-001,SHIYAR KOGO / KOFAR MARAFA,76,750,TRUE,-1,TRUE,FALSE,FALSE,FALSE,UNKNOWN,55,0,16,3,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3875/ward/26315/pu/120733/120733-1677511560.pdf,,,,,,,,,,,11.880104,7.11358
ZAMFARA,TSAFE,"YANKUZO ""A""",36-13-04-002,SHIYAR S.  AIKI / KOFAR YUGUDA,108,750,TRUE,-1,TRUE,FALSE,FALSE,FALSE,UNKNOWN,55,0,16,3,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3875/ward/26315/pu/120734/120734-1677594255.pdf,,,,,,,,,,,11.843227,6.79792
ZAMFARA,TSAFE,"YANKUZO ""A""",36-13-04-005,TAKULAWA    /  PRIMARY SCHOOL,238,916,TRUE,-1,TRUE,FALSE,FALSE,FALSE,UNKNOWN,179,0,48,2,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3875/ward/26315/pu/120737/120737-1677593206.pdf,,,,,,,,,,,11.962372,6.920633
ZAMFARA,TSAFE,KETA/KIZARA,36-13-07-001,KETA I / MAKARANTA,321,826,TRUE,-1,TRUE,FALSE,FALSE,FALSE,UNKNOWN,87,0,215,4,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3875/ward/26318/pu/120777/120777-1677594961.pdf,,,,,,,,,,,11.964064,6.925308
ZAMFARA,TSAFE,TSAFE,36-13-08-012,BAKIN GULBI / DANFAKO,160,358,TRUE,-1,FALSE,TRUE,FALSE,FALSE,UNKNOWN,84,0,58,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3875/ward/26319/pu/120806/120806-1677455340.pdf,,,,,,,,,,,11.976058,6.953906
ZAMFARA,TSAFE,TSAFE,36-13-08-027,RUGGAR  NA ALI / PRIMARY SCHOOL,126,677,TRUE,-1,TRUE,FALSE,FALSE,FALSE,UNKNOWN,33,0,60,2,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3875/ward/26319/pu/120821/120821-1677487049.pdf,,,,,,,,,,,11.949201,6.969695
ZAMFARA,TSAFE,CHEDIYA,36-13-09-004,UNG. SARKIN FAWA / DAN FAKO,168,365,TRUE,-1,TRUE,FALSE,FALSE,FALSE,UNKNOWN,35,0,131,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3875/ward/26320/pu/120830/120830-1677527236.pdf,,,,,,,,,,,11.963706,6.912
ZAMFARA,TSAFE,CHEDIYA,36-13-09-007,CHEDIYA / BAKIN KASUWA,204,707,TRUE,-1,TRUE,FALSE,FALSE,FALSE,UNKNOWN,28,1,172,1,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3875/ward/26320/pu/120833/120833-1677530270.pdf,,,,,,,,,,,12.17621,6.673331
ZAMFARA,TSAFE,YAN WAREN DAJI,36-13-10-005,TABKIN KAZAI II / PRIMARY SCHOOL,124,726,TRUE,-1,TRUE,FALSE,FALSE,FALSE,UNKNOWN,113,0,11,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3875/ward/26321/pu/120847/120847-1677461860.pdf,,,,,,,,,,,12.169026,6.682891
ZAMFARA,TSAFE,YAN WAREN DAJI,36-13-10-009,MARKE    /  PRIMARY SCHOOL,185,883,TRUE,-1,TRUE,FALSE,FALSE,FALSE,UNKNOWN,127,0,53,1,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3875/ward/26321/pu/120851/120851-1677510164.pdf,,,,,,,,,,,13.606381,5.845679
ZAMFARA,ZURMI,GALADIMA/YANRUWA,36-14-04-001,SABON GARI  /  MUH'D A PRI. SCH.,346,770,TRUE,-1,TRUE,FALSE,FALSE,FALSE,UNKNOWN,135,0,181,4,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3876/ward/26326/pu/120937/120937-1677458175.pdf,,,,,,,,,,,11.865137,6.002662
ZAMFARA,ZURMI,GALADIMA/YANRUWA,36-14-04-004,KOFAR KASUWA  I / TSOHUWAR KASUWA,259,715,TRUE,-1,TRUE,FALSE,FALSE,FALSE,UNKNOWN,131,0,108,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3876/ward/26326/pu/120940/120940-1677456971.pdf,,,,,,,,,,,11.326415,7.139838
ZAMFARA,ZURMI,KANWA,36-14-05-010,TAKALMAWA / PRIMARY SCHOOL,155,450,TRUE,-1,TRUE,FALSE,FALSE,FALSE,UNKNOWN,40,0,114,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/14/ward/05/pu/009/009-1677426133.pdf,,,,,,,,,,,11.325256,7.139259
ZAMFARA,ANKA,BAGEGA,36-01-01-020,TUNTAJIYA PRI SCH,67,234,TRUE,-1,TRUE,FALSE,FALSE,FALSE,UNKNOWN,42,0,18,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/673679/result_64632_1678125724_thumb.jpg,,,,,,,,,,,12.270039,6.54766
ZAMFARA,BAKURA,DAN MANAU,36-02-05-018,SHIYAR MAYANCI GAMJI,275,320,TRUE,-1,TRUE,FALSE,FALSE,FALSE,UNKNOWN,193,0,42,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/673750/result_64887_1677487997_thumb.jpg,,,,,,,,,,,12.267854,6.546945
ZAMFARA,BAKURA,DAN MANAU,36-02-05-019,GAMJI SEC. SCH,283,341,TRUE,-1,TRUE,FALSE,FALSE,FALSE,UNKNOWN,210,0,61,1,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/673751/result_64888_1677488145_thumb.jpg,,,,,,,,,,,12.274564,6.53423
ZAMFARA,BIRNIN MAGAJI,MODOMAWA WEST,36-03-09-011,JNI PRI. SCHOOL,47,149,TRUE,-1,TRUE,FALSE,FALSE,FALSE,UNKNOWN,68,0,16,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/673836/result_65117_1677584649_thumb.jpg,,,,,,,,,,,12.277178,6.550227
ZAMFARA,BUNGUDU,BINGI NORTH,36-05-01-024,LANDAI/ DAN HILI,76,423,TRUE,-1,TRUE,FALSE,FALSE,FALSE,UNKNOWN,39,0,32,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/673885/result_65369_1677493702_thumb.jpg,,,,,,,,,,,12.275254,6.544118
ZAMFARA,BUNGUDU,BUNGUDU,36-05-03-018,MATSERI COMM PRI.SCH,55,165,TRUE,-1,TRUE,FALSE,FALSE,FALSE,UNKNOWN,33,0,18,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/673895/result_65418_1677507086_thumb.jpg,,,,,,,,,,,12.556699,6.170689
ZAMFARA,BUNGUDU,FURFURI/KWAI-KWAI,36-05-04-036,GIDAN DAN INNA D/ FILI,153,173,TRUE,-1,TRUE,TRUE,FALSE,FALSE,UNKNOWN,110,0,34,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/673930/result_65474_1677593900_thumb.jpg,,,,,,,,,,,12.537873,6.18008
ZAMFARA,BUNGUDU,RAWAYYA/ BELA,36-05-08-034,SABON GIDA PRI.SCH,2,214,TRUE,-1,TRUE,FALSE,FALSE,FALSE,UNKNOWN,0,0,2,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/673961/result_65603_1677503172_thumb.jpg,,,,,,,,,,,12.546742,6.81401
ZAMFARA,BUNGUDU,SAMAWA,36-05-09-015,YAR BACHAKA,218,240,TRUE,-1,FALSE,TRUE,FALSE,FALSE,UNKNOWN,140,0,62,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/673972/result_65625_1677493037_thumb.jpg,,,,,,,,,,,12.546902,6.813329
ZAMFARA,MARADUN,FARU / MAGAMI,36-09-03-029,FARU /DISPENSARY,97,140,TRUE,-1,TRUE,TRUE,FALSE,FALSE,UNKNOWN,61,2,34,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/674330/result_66779_1677505725_thumb.jpg,,,,,,,,,,,13.043239,5.258609
ZAMFARA,MARADUN,JANBAKO,36-09-06-014,SHIYAR DANKADU II/KYALETA,139,498,TRUE,-1,TRUE,FALSE,FALSE,FALSE,UNKNOWN,117,0,20,1,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/674341/result_66830_1677502815_thumb.jpg,,,,,,,,,,,12.703544,5.463497
ZAMFARA,TALATA MAFARA,SHIYAR GALADIMA,36-12-09-044,DAN JALLABA III/ UNGUWAR ROGO/ BAKIN TRANSFORMER,190,745,TRUE,-1,TRUE,TRUE,FALSE,FALSE,UNKNOWN,122,3,36,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/674484/result_67512_1678109293_thumb.jpg,,,,,,,,,,,12.545813,6.812878
ZAMFARA,TALATA MAFARA,SHIYAR GALADIMA,36-12-09-051,TABKIN BUSAU IV/ N.D.L.E.A.,243,529,TRUE,-1,TRUE,FALSE,FALSE,FALSE,UNKNOWN,219,0,18,1,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/674491/result_67519_1678111657_thumb.jpg,,,,,,,,,,,12.60354,5.363497
ZAMFARA,TALATA MAFARA,SHIYAR GALADIMA,36-12-09-053,SHAGON TUKUR MANGO V/BAKIN YAR KOFA/MALLAMAWA,174,750,TRUE,-1,TRUE,FALSE,FALSE,FALSE,UNKNOWN,133,0,34,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/674493/result_67521_1678112035_thumb.jpg,,,,,,,,,,,12.42378,6.77635
